,AUC,best_threshold,precision,recall,F1
LR,0.8205009088281262,0.6500000000000001,0.3412306679828891,0.517206982543641,0.41118160190325137
RF,0.8667093740911163,0.7500000000000002,0.38408831366577845,0.5032418952618454,0.4356649395509499
XGB,0.8680602298504497,0.7000000000000002,0.3865327380952381,0.5182044887780549,0.4427871297677392
